Autor(a),ID Lattes do(a) autor(a),Orientadores,ID Lattes dos orientadores,Membros da banca,ID Lattes dos membros da banca,Título,Ano de defesa,Instituição de defesa,Sigla da instituição de defesa,País da instituição de defesa,Departamento da instituição de defesa,Programa de Pós-Graduação da instituição de defesa,Área do conhecimento CNPq,Tipos de acesso,Tipo de documento,Assuntos em português,Assuntos em inglês,Idioma,Resumo,Link de acesso,Identificador persistente ARK,Resumo em Português,Resumo em Inglês,Referência Bibliográfica
"Bastos, F. J. dos S.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A influência do uso da inteligência artificial no ensino de finanças,2025,Centro Universitário da Fundação Educacional Inaciana (FEI),FEI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Inteligência artificial||Finanças,Não informado pela instituição,por||pt_BR,"A presente dissertação tem como objetivo investigar a influência do uso da Inteligência Artificial (IA), especificamente o ChatGPT, no desempenho de alunos no ensino de finanças. Para alcançar esse objetivo, foi realizado um quase-experimento com estudantes de graduação em Administração, divididos em dois grupos: um grupo experimental que utilizou o ChatGPT para estudos (chamado de Grupo Y) e um grupo de controle que utilizou materiais impressos para estudos (chamado de Grupo X). Os dados sobre o desempenho acadêmico foram coletados antes e depois da intervenção, permitindo uma análise comparativa entre os dois métodos de estudo. Os resultados indicaram que o uso do ChatGPT pode trazer benefícios para a aprendizagem, especialmente em questões de cálculo e interpretação na área de finanças, demonstrados pela melhora do grupo experimental nesses aspectos. Sob a ótica da Teoria da Carga Cognitiva de Sweller, os achados reforçam que o ChatGPT auxilia na redução da carga extrínseca ao simplificar a busca por informações, permitindo que os alunos concentrem seus recursos cognitivos na carga intrínseca e pertinente, fundamentais para a compreensão de conceitos e resolução de problemas. Do ponto de vista do Modelo de Aceitação de Tecnologia (TAM), proposto por Davis (1989), observou-se que a percepção de facilidade de uso foi um fator determinante para o engajamento com o ChatGPT. Alunos com maior familiaridade tecnológica apresentaram melhor desempenho, demonstrando que a experiência prévia com ferramentas digitais potencializa os benefícios do uso da IA no contexto educacional. Esta pesquisa contribui tanto para a teoria da carga cognitiva, sugerindo que ferramentas baseadas em IA podem reduzir a sobrecarga irrelevante e otimizar o aprendizado, quanto para o TAM, ao reforçar a importância da facilidade de uso e da familiaridade prévia para a aceitação e eficácia de tecnologias educacionais. Também oferece subsídios práticos para o desenvolvimento de metodologias educacionais inovadoras","BASTOS, F. J. dos S. <b> A influência do uso da inteligência artificial no ensino de finanças.</b> 2025. 127 f. Dissertação (Mestrado em Administração de Empresas) - Centro Universitário FEI, São Paulo, 2025. Disponível em: https://doi.org/10.31414/ADM.2025.D.132120.||https://repositorio.fei.edu.br/handle/FEI/5785||https://doi.org/10.31414/ADM.2025.D.132120",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"AURELIANO, Viviane Cristina Oliveira",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Stepwise self-explanation: uma abordagem para o aprendizado de linguagens de programação através da auto-explicação de exemplos em vídeo,2016,Universidade Federal de Pernambuco (UFPE),UFPE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Inteligência artificial||Educação||Tecnologia educacional,Não informado pela instituição,por,"Começar a programar é considerado difícil pela maioria dos estudantes. Normalmente, as disciplinas introdutórias de programação estão relacionadas a altas taxas de reprovação e de evasão. Ensinar programação é considerado um dos grandes desafios da área de educação em computação. Aliado a isso, os estudantes de programação adotam metodologias de estudo que são ineficientes. Eles decoram soluções para os problemas ao invés de entendê-las, estudam de maneira passiva ou superficial e fazem poucos exercícios. Estes estudantes também possuem um tipo de conhecimento dito frágil, que é aquele conhecimento que eles possuem, mas não conseguem aplicar em novas situações ou problemas encontrados. Para minimizar as dificuldades dos iniciantes em programação, os professores devem apresentar o processo de programação aos estudantes, guiando-os durante a construção dos programas. Uma maneira de fazer isso é através da utilização do Stepwise Improvement (FSI), um framework conceitual que descreve a atividade de programação como um processo sistemático e incremental composto pelas atividades de extensão, refinamento e reestruturação. A partir do emprego do FSI para a construção de materiais instrucionais, os estudantes podem aprender programação desenvolvendo pequenos pedaços de código sistemática e incrementalmente. Além disso, os professores devem propor atividades de aprendizado que permitam que os estudantes empreguem metodologias de estudo que sejam mais eficazes. Neste caso, uma atividade de aprendizado considerada eficiente para os estudantes é a auto-explicação. A auto-explicação é uma atividade construtiva que auxilia os estudantes a entender o que está sendo estudado e a construir conhecimento a partir deste material. Auto-explicar durante os momentos de estudo mostrou ser eficiente para estudantes estudando a partir de diferentes materiais instrucionais e em diversas disciplinas. A prática da auto-explicação foi pouco explorada na área de Programação, tendo sido aplicada, por exemplo, no estudo de exemplos apresentados estaticamente aos estudantes. Contudo, a literatura não relata a utilização da auto-explicação para o ensino do processo de construção de programas aos estudantes. No intuito de preencher esta lacuna, o objetivo principal desta tese é propor uma abordagem chamada Stepwise Self-explanation. Nesta abordagem, lançamos mão do FSI para estruturar exemplos trabalhados em vídeo utilizados como material instrucional de cursos introdutórios de programação. Adicionalmente, utilizamos a técnica da auto-explicação como atividade de aprendizagem e como forma de orientar o processo de reflexão dos estudantes. Propusemos duas versões da abordagem, uma versão piloto e uma versão refinada. A versão piloto da abordagem foi avaliada por meio de um experimento piloto com estudantes matriculados no ensino médio e técnico. Os resultados deste experimento mostraram que uma abordagem promissora, mas que precisava de melhorias em sua estrutura. A versão refinada da abordagem foi avaliada por meio de três quase-experimentos com estudantes matriculados no ensino médio, técnico e superior. Os resultados obtidos nestes quase-experimentos foram encorajadores. Eles mostraram que os estudantes que fizeram uso da abordagem cometeram menos erros em seus programas do que os outros estudantes, resultando em um melhor desempenho nos pós-testes. A abordagem também obteve um feedback positivo dos estudantes e dos professores que a avaliaram.",https://repositorio.ufpe.br/handle/123456789/25632,ark:/64986/00130000136r7,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Jess, Gil Marcos",Não informado pela instituição,"Carvalho, Alexandre Luis Trovon de, 1968-||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Inteligência artificial e tecnologias da inteligência : um repensar segundo os processos de elaboração matemática,2004,Universidade Federal do Paraná (UFPR),UFPR,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência artificial||Raciocínio||Dissertações - Educação||Educação,Não informado pela instituição,por,Anexos,https://hdl.handle.net/1884/32969,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Baur, Katharina Tameirão",Não informado pela instituição,"Canôas, Silvia Swain||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,ChatGPT e o ensino da Matemática: crenças dos professores dos anos iniciais do Ensino Fundamental,2024,Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM),UFVJM,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Educação||Matemática||Tecnologias||Inteligência Artificial,Education||Mathematics||Technologies||Artificial Intelligence.,por,O presente trabalho foi realizado com apoio da Coordenação de Aperfeiçoamento de Pessoal de Nível Superior - Brasil (CAPES) - Código de Financiamento 001.,http://localhost:4000/handle/123456789/3754,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,"BAUR, Katharina Tameirão. ChatGPT e o ensino da Matemática: crenças dos professores dos anos iniciais do Ensino Fundamental. 2024. 110 p. Dissertação (Mestrado Profissional em Matemática) – Programa de Pós-Graduação em Matemática, Universidade Federal dos Vales do Jequitinhonha e Mucuri, Teófilo Otoni, 2024."
"Domeneghini, Daiana",Não informado pela instituição,"Pescador, Cristina Maria||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,A inteligência artificial como prática mediadora para o ensino e aprendizagem na educação,2022,Universidade de Caxias do Sul (UCS),UCS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Educação||Inteligência artificial||Aprendizagem||Ensino,Education||Artificial intelligence||Learning||Teaching,eng||por,"A pesquisa versa sobre a inserção das técnicas de Inteligência Artificial na educação, bem como o reconhecimento das características que envolvem o uso dessas técnicas como prática mediadora para ensinar e aprender. De forma mais precisa, discorre sobre o uso dos sistemas tutores inteligentes para promover um ensino e aprendizagem personalizados. Embora as transformações sociais, mesmo em períodos distintos, venham adentrando o cotidiano da sociedade e alterando os hábitos de vida, a mutação tecnológica, incorporada de virtualização e conectividade, permeia esse espaço cultural e desafia o modelo tradicional do binômio ensino e aprendizagem. A mudança pode ser fundamental quando é possível reconhecer uma necessidade social e, nessa perspectiva, o objetivo geral deste trabalho é identificar as características que permeiam o uso das técnicas de inteligência artificial como prática mediadora para o ensino e a aprendizagem. Para cumprir com o objetivo principal, optou-se pela construção de uma pesquisa bibliográfica de caráter qualitativo exploratório, embasada nos principais autores científicos como Bittencourt (1998), BNCC (2018); Crochik (1998); Dowbor (2009); Freire (2015); Kuramoto (2009); Lemos (2009); Lévy (1999); Lévy (2001); Palacios(2009); Simões (2009); Turing (1950) e Vicari (2018). Os resultados da referida investigação evidenciaram que o sujeito contemporâneo já vivencia a mutação tecnológica, o que sinaliza a importância de os sistemas tutores inteligentes adentrarem os espaços escolares de modo a acompanharem as tendências do cotidiano. Da mesma forma, é possível o desenvolvimento de competências e habilidades do estudante por meio da utilização dos recursos advindos de técnicas de IA para oferecer um ensino e uma aprendizagem contemporâneos. [resumo fornecido pelo autor]",https://repositorio.ucs.br/11338/10684,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
Samuel de Oliveira Durso,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Estudos sobre as implicações da inteligência artificial para a educação a distância no Brasil,2024,Universidade Federal de Minas Gerais (UFMG),UFMG,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Inteligência artificial||Educação à distância||Ensino superior||TIC||Inteligencia artificial||Tecnologia educacional||Ensino à distância,Não informado pela instituição,por,"Esta pesquisa teve como objetivo geral analisar as implicações que a introdução de tecnologias de Inteligência Artificial (IA) tem gerado para os cursos da Educação a Distância (EAD) no Brasil. Para isso, foram estruturados três artigos que abordam o fenômeno investigado a partir de diferentes perspectivas. No primeiro artigo, foi conduzida uma Revisão Sistemática da Literatura (RSL) a partir de 63 teses e dissertações defendidas em programas de pós-graduação stricto sensu do país, objetivando analisar o atual estágio da produção acadêmica nacional sobre o assunto. No segundo artigo, foi realizada uma análise documental com 111 relatórios divulgados pelos conglomerados educacionais brasileiros de capital aberto na Brasil, Bolsa, Balcão – [B]³, tendo como intuito analisar de que forma o setor educacional privado brasileiro tem utilizado as tecnologias pautadas em IA no processo de ensino-aprendizagem, especialmente, no contexto da EAD. Por fim, no terceiro e último artigo conduzido pela pesquisa foi realizada uma survey com 206 professores e tutores atuantes na EAD em diferentes regiões do país, buscando mensurar o nível de aceitação da IA desses profissionais e identificar seus fatores explicativos. Os principais resultados obtidos sinalizam que a introdução de ferramentas de IA na EAD brasileira já é uma realidade. As evidências do primeiro estudo indicam, contudo, que a pesquisa acadêmica da área da Educação ainda se mostra distante do assunto, tendo em vista o baixo desenvolvimento de teses e dissertações sobre o tema nesse campo do conhecimento. No segundo estudo, em especial, foi possível constatar que a transformação tecnológica pautada pela digitalização e plataformização da educação brasileira tem se mostrado uma tendência entre as principais companhias do mercado educacional privado do país. Apesar disso, a condução da survey junto aos docentes e tutores atuantes na EAD no terceiro artigo sinaliza que as tecnologias de maior complexidade, ou seja, aquelas que realizam a automação das principais atividades acadêmicas, ainda não estão totalmente inseridas nas instituições que ofertam cursos na EAD. Contudo, as tendências observadas para o mercado privado, como as aquisições de EdTechs pelos principais conglomerados educacionais listados na [B]³, indicam que tem sido direcionados recursos econômicos para que a transformação tecnológica relacionada com a Indústria 4.0 seja incorporada ao sistema educacional brasileiro, o que guarda uma relação direta com a necessidade dessas companhias apresentarem lucratividade no mercado financeiro. Além disso, os resultados das análises quantitativas realizadas para o terceiro artigo permitiram identificar, ainda, que os professores e tutores que formaram a amostra do estudo apresentam bons níveis de aceitação tecnológica geral e, de forma mais específica, da IA aplicada à EAD. Não obstante, os feedbacks apresentados por esses profissionais para as questões dissertativas apresentadas no instrumento de coleta de dados deixam clara a percepção de limitações das tecnologias utilizadas atualmente no contexto da EAD, assim como ressaltam a importância do contato humano para a condução do processo de ensino-aprendizagem. De uma forma geral, portanto, os resultados apresentados pelo estudo permitem compreender, a partir de múltiplas perspectivas, as implicações que a IA apresenta para a EAD no Brasil. Nesse sentido, os achados da investigação mostram-se úteis para se (re)pensar as políticas educacionais brasileiras e, em especial, aquelas voltadas para a modalidade a distância, com o intuito de antever os impactos que as novas ferramentas tecnológicas irão gerar para o setor. Adicionalmente, mostra-se urgente a necessidade de o campo acadêmico da Educação envidar ainda mais esforços para a condução de investigações sobre o fenômeno aqui abordado, de forma a acompanhar as mudanças da utilização das novas tecnologias educacionais para a formação humana no país.",http://hdl.handle.net/1843/78231||https://orcid.org/0000-0003-0016-3611,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Silva, I. J.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Uso de aprendizado por reforço para otimização do controle de caminhada de um robô móvel humanóide,2015,Centro Universitário da Fundação Educacional Inaciana (FEI),FEI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência artificial-Educação||Robôs||Robô humanóide,Não informado pela instituição,por||pt_BR,"Os atuais robôs humanoides ainda possuem instabilidade no andar dinâmico comparado com o andar humano. Apesar de existirem robôs móveis com rodas que possuem uma boa estabilidade, a busca pelo desenvolvimento dos robôs humanoides se dá pelo fato de que a locomoção com pernas é a melhor forma de locomoção em ambientes com descontinuidades no piso. Existem várias técnicas de geração de caminhada que vêm sendo desenvolvidas para robôs humanoides, porém, até o momento, nenhuma delas apresentou resultados satisfatórios se comparados com o andar humano. No entanto, sabe-se que há restrições construtivas, porque os robôs humanoides atuais, para se assemelharem aos seres humanos, precisam ser construídos com dispositivos e preceitos análogos a estrutura física do corpo humano. No robô humanoide se usa metais ao invés de ossos, motores no lugar de músculos, fios no lugar dos nervos e microprocessadores no lugar do cérebro, com isso, o resultado operacional acaba sendo diferente se comparado ao ser humano. Ao longo dos anos, várias propostas vêm sendo apresentadas para solucionar a questão da estabilidade dos robôs humanoides durante a caminhada. Algumas propostas apresentaram o aprendizado por reforço como solução, entretanto cada uma delas apresentou diferentes formas de implementação do aprendizado com diversos algoritmos. Seguindo essa linha de pesquisa, este trabalho propõe um algoritmo de aprendizado por reforço com generalizações temporais para otimizar os valores dos parâmetros do sistema de controle do andar em um robô humanoide, buscando um andar rápido e estável. Foram realizados experimentos simulado. Os resultados experimentais permitiram concluir que o algoritmo proposto foi capaz de aprender quais são os melhores valores de parâmetros do gerador de caminhada, através da observação do desempenho da caminhada executada pelo robô humanoide.","SILVA, I. J. <b> Uso de aprendizado por reforço para otimização do controle de caminhada de um robô móvel humanóide. </b> 2015. 116 f. Dissertação (Mestrado em Engenharia Elétrica) - Centro Universitário FEI, São Bernardo do Campo, 2015. Disponível em: &lt;http://sofia.fei.edu.br:8080/pergamumweb/vinculos/000047/000047f5.pdf&gt;. Acesso em: 23 maio 2019.||https://repositorio.fei.edu.br/handle/FEI/328",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Meneghetti, D. R.",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Metodologia de seleção de itens em testes adaptativos informatizados baseada em agrupamento por similaridade,2015,Centro Universitário da Fundação Educacional Inaciana (FEI),FEI,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Inteligência artificial-Educação||Testes adaptativos informatizados,Não informado pela instituição,por||pt_BR,"Testes Adaptativos Informatizados são avaliações educacionais aplicadas em um computador, cuja escolha dos itens é feita em tempo real, baseada nas respostas do examinando aos itens anteriores. Esta característica garante aos testes adaptativos maior precisão na estimativa da proficiência do examinando com a aplicação de menos itens. Diversas metodologias foram criadas para balancear a precisão na estimativa da proficiência com o uso homogêneo do banco de itens, a maioria delas fundadas na Teoria da Resposta ao Item, uma série de modelos psicométricos criados especificamente para mensurar traços latentes dos indivíduos e modelar probabilisticamente o comportamento desses indivíduos durante a aplicação de um teste. Este trabalho apresenta uma nova metodologia de seleção de itens para aplicação de Testes Adaptativos Informatizados, baseada no agrupamento por similaridade de um banco de itens, representados por seus parâmetros sob o modelo logístico de 3 parâmetros da Teoria da Resposta ao Item. Diversos algoritmos de agrupamento tradicionais são aplicados, seus resultados são avaliados utilizando medidas de validação disponíveis na literatura e, por fim, são alimentados à metodologia proposta, a qual é validada através de um estudo de simulações de aplicações de Testes Adaptativos Informatizados sob diversas restrições de exposição dos itens. O estudo de simulações demonstra que o número de grupos no qual o banco de itens é separado possui influência sobre a precisão da estimativa das proficiências dos indivíduos e também sobre a taxa de sobreposição do teste, permitindo que precisão e segurança do banco de itens possam ser controlados através da variação no número de partições.","MENEGHETTI, D. R. <b> Metodologia de seleção de itens em testes adaptativos informatizados baseada em agrupamento por similaridade. </b> 2015. 96 f. Dissertação (Mestrado em Engenharia Elétrica) - Centro Universitário FEI, São Bernardo do Campo, 2015. Disponível em: <http://sofia.fei.edu.br:8080/pergamumweb/vinculos/000011/000011c0.pdf>. Acesso em: 15 out. 2015.||https://repositorio.fei.edu.br/handle/FEI/327",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Rossi, Luiz Henrique Longhi",Não informado pela instituição,"Vicari, Rosa Maria||Não informado pela instituição",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Infraestrutura inteligente para o aumento de reusabilidade de objetos de aprendizagem,2016,Universidade Federal do Rio Grande do Sul (UFRGS),UFRGS,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,doctoralThesis,Inteligência artificial||Objeto de aprendizagem||Informática : Educação,Não informado pela instituição,por,"Cada vez mais instituições de ensino têm criado repositórios educacionais para disponibilizar seus Objetos de Aprendizagens (OAs). Entretanto, esses repositórios ficam isolados, o que implica que um usuário que busca um determinado material necessite um considerável esforço para realizar suas buscas em cada um dos repositórios. Assim, principal objetivo desse trabalho é a criação de um modelo de integração de repositórios educacionais, preparar esse sistema para a Web 3.0, permitindo assim que os OAs possam ser consumidos, reutilizados e adaptados a realidade de cada região, de forma independente de plataforma ou metadados. Para alcançar este objetivo foi criado um modelo de integração de repositórios educacionais em uma estrutura hierárquica, de modo a permitir a coleta, indexação e busca de material educacional a partir de repositórios heterogêneos. Assim, foi possível coletar mais de 150 mil OAs de diversos repositórios e as avaliações dos usuários apontaram mais de 90% de aprovação do modelo. Com isso, revelou-se a eficácia da integração, contribuindo a localização, uso e reuso dos OAs, visibilidade dos repositórios educacionais, entra outros pontos.",http://hdl.handle.net/10183/144088,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
"Taveira, Ricardo Duarte",Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Implementando um mecanismo de processamento de conhecimento em uma ferramenta de EAD,2003,Universidade Estadual do Ceará,UECE,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,openAccess,masterThesis,Aprendizagem||Computação||Educação a distância||Inteligência artificial,Não informado pela instituição,por,"<p class=""MsoNormal"" style=""text-align:justify""><span style=""font-size: 13.3333px; text-align: start;"">Ver documento original.</span></p>",https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=29311,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição,Não informado pela instituição
